,,,,,,,
Nurse,Age,Political Spectrum,Travel Nurse Experience,Most Important - Top 1,Most Important - Top 2,Least Important - bottom of list,Least Important - 2nd bottom of list
323,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
324,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Facility Location,DEI,Management & leadership
325,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
326,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Safety & Patient Ratios
327,Baby Boomer,Moderate,Newbie,Management & leadership,Orientation & Onboarding,DEI,Facility Location
328,Baby Boomer,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Management & leadership
329,Baby Boomer,Conservative,Veteran,Pay,Facility Location,DEI,Housing Options
330,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
331,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Safety & Patient Ratios
332,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Facility Location
333,Baby Boomer,Moderate,Newbie,Management & leadership,Facility Location,DEI,Safety & Patient Ratios
334,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
335,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
336,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Facility Location,DEI,Management & leadership
337,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
338,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Safety & Patient Ratios
339,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Housing Options
340,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
341,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
342,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Facility Location,DEI,Housing Options
343,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Safety & Patient Ratios
344,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Facility Location
345,Baby Boomer,Moderate,Newbie,Management & leadership,Facility Location,DEI,Housing Options
346,Baby Boomer,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Management & leadership
347,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
348,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Management & leadership
349,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
350,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
351,Baby Boomer,Moderate,Newbie,Management & leadership,Facility Location,DEI,Safety & Patient Ratios
352,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
353,Baby Boomer,Conservative,Veteran,Pay,Facility Location,DEI,Housing Options
354,Baby Boomer,Conservative,Veteran,Pay,Facility Location,DEI,Housing Options
355,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Housing Options
356,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Facility Location
357,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
358,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Facility Location,DEI,Management & leadership
359,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
360,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Facility Location
361,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Facility Location
362,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
363,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
364,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Management & leadership
365,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
366,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Safety & Patient Ratios
367,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Facility Location
368,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
369,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
370,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Management & leadership
371,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
372,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Facility Location
373,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Facility Location
374,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
375,Baby Boomer,Conservative,Veteran,Pay,Facility Location,DEI,Housing Options
376,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Facility Location
377,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
378,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Facility Location
379,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Facility Location
380,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
381,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Safety & Patient Ratios
382,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Housing Options
383,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
384,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Safety & Patient Ratios
385,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Facility Location
386,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
387,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
388,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Management & leadership
389,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
390,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Safety & Patient Ratios
391,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Facility Location
392,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Housing Options
393,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Facility Location
394,Baby Boomer,Moderate,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
395,Baby Boomer,Liberal,Veteran,DEI,Patient Acuity,Pay,Management & leadership
396,Baby Boomer,Conservative,Veteran,Pay,Housing Options,DEI,Facility Location
397,Baby Boomer,Moderate,Newbie,Management & leadership,Safety & Patient Ratios,DEI,Housing Options
398,Baby Boomer,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Facility Location
399,Baby Boomer,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
400,Baby Boomer,Moderate,Newbie,Facility Location,Safety & Patient Ratios,DEI,Management & leadership
401,Gen Z,Conservative,Newbie,Pay,Safety & Patient Ratios,DEI,Housing Options
402,Gen Z,Moderate,Veteran,Management & leadership,Facility Location,DEI,Patient Acuity
403,Gen Z,Liberal,Newbie,DEI,Orientation & Onboarding,Pay,Facility Location
404,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
405,Gen Z,Moderate,Newbie,Patient Acuity,Facility Location,DEI,Management & leadership
406,Gen Z,Liberal,Newbie,DEI,Safety & Patient Ratios,Pay,Facility Location
407,Gen Z,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
408,Gen Z,Moderate,Newbie,Facility Location,Orientation & Onboarding,DEI,Pay
409,Gen Z,Liberal,Moderate,DEI,Patient Acuity,Safety & Patient Ratios,Facility Location
410,Gen Z,Conservative,Newbie,Pay,Facility Location,DEI,Management & leadership
411,Gen Z,Moderate,Veteran,Orientation & Onboarding,Patient Acuity,DEI,Pay
412,Gen Z,Liberal,Newbie,DEI,Management & leadership,Safety & Patient Ratios,Housing Options
413,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Orientation & Onboarding,DEI,Facility Location
414,Gen Z,Moderate,Newbie,Patient Acuity,Housing Options,DEI,Management & leadership
415,Gen Z,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Facility Location
416,Gen Z,Conservative,Newbie,Pay,Management & leadership,DEI,Housing Options
417,Gen Z,Moderate,Newbie,Facility Location,Patient Acuity,DEI,Pay
418,Gen Z,Liberal,Moderate,DEI,Orientation & Onboarding,Safety & Patient Ratios,Management & leadership
419,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Facility Location,DEI,Orientation & Onboarding
420,Gen Z,Moderate,Veteran,Patient Acuity,Management & leadership,DEI,Housing Options
421,Gen Z,Liberal,Newbie,DEI,Pay,Safety & Patient Ratios,Facility Location
422,Gen Z,Conservative,Newbie,Pay,Facility Location,DEI,Management & leadership
423,Gen Z,Moderate,Newbie,Orientation & Onboarding,Patient Acuity,DEI,Pay
424,Gen Z,Liberal,Veteran,DEI,Management & leadership,Safety & Patient Ratios,Housing Options
425,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Orientation & Onboarding,DEI,Facility Location
426,Gen Z,Moderate,Newbie,Patient Acuity,Housing Options,DEI,Management & leadership
427,Gen Z,Liberal,Veteran,DEI,Pay,Safety & Patient Ratios,Facility Location
428,Gen Z,Conservative,Newbie,Pay,Management & leadership,DEI,Housing Options
429,Gen Z,Moderate,Veteran,Orientation & Onboarding,Facility Location,DEI,Pay
430,Gen Z,Liberal,Newbie,DEI,Patient Acuity,Safety & Patient Ratios,Management & leadership
431,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
432,Gen Z,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Facility Location
433,Gen Z,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Housing Options
434,Gen Z,Conservative,Newbie,Pay,Facility Location,DEI,Management & leadership
435,Gen Z,Moderate,Newbie,Orientation & Onboarding,Patient Acuity,DEI,Housing Options
436,Gen Z,Liberal,Veteran,DEI,Pay,Safety & Patient Ratios,Facility Location
437,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
438,Gen Z,Moderate,Newbie,Patient Acuity,Facility Location,DEI,Orientation & Onboarding
439,Gen Z,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Management & leadership
440,Gen Z,Conservative,Newbie,Pay,Facility Location,DEI,Housing Options
441,Gen Z,Moderate,Veteran,Orientation & Onboarding,Patient Acuity,DEI,Safety & Patient Ratios
442,Gen Z,Liberal,Newbie,DEI,Pay,Management & leadership,Housing Options
443,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Facility Location
444,Gen Z,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Housing Options
445,Gen Z,Liberal,Veteran,DEI,Safety & Patient Ratios,Pay,Management & leadership
446,Gen Z,Conservative,Newbie,Pay,Management & leadership,DEI,Housing Options
447,Gen Z,Moderate,Newbie,Facility Location,Patient Acuity,DEI,Safety & Patient Ratios
448,Gen Z,Liberal,Veteran,DEI,Orientation & Onboarding,Pay,Facility Location
449,Gen Z,Conservative,Newbie,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
450,Gen Z,Moderate,Newbie,Patient Acuity,Facility Location,DEI,Orientation & Onboarding
451,Millennial,Conservative,Veteran,Pay,Management & leadership,DEI,Housing Options
452,Millennial,Moderate,Newbie,Safety & Patient Ratios,Patient Acuity,DEI,Orientation & Onboarding
453,Millennial,Liberal,Moderate,DEI,Orientation & Onboarding,Facility Location,Pay
454,Millennial,Conservative,Veteran,Management & leadership,Safety & Patient Ratios,DEI,Housing Options
455,Millennial,Moderate,Newbie,Patient Acuity,Housing Options,DEI,Facility Location
456,Millennial,Liberal,Veteran,DEI,Pay,Safety & Patient Ratios,Orientation & Onboarding
457,Millennial,Conservative,Moderate,Pay,Management & leadership,DEI,Housing Options
458,Millennial,Moderate,Newbie,Facility Location,Orientation & Onboarding,DEI,Pay
459,Millennial,Liberal,Veteran,DEI,Patient Acuity,Safety & Patient Ratios,Management & leadership
460,Millennial,Conservative,Newbie,Pay,Facility Location,DEI,Patient Acuity
461,Millennial,Moderate,Veteran,Orientation & Onboarding,Management & leadership,DEI,Pay
462,Millennial,Liberal,Newbie,DEI,Safety & Patient Ratios,Pay,Facility Location
463,Millennial,Conservative,Veteran,Safety & Patient Ratios,Patient Acuity,DEI,Housing Options
464,Millennial,Moderate,Moderate,Patient Acuity,Orientation & Onboarding,DEI,Facility Location
465,Millennial,Liberal,Veteran,DEI,Management & leadership,Safety & Patient Ratios,Housing Options
466,Millennial,Conservative,Newbie,Pay,Management & leadership,DEI,Orientation & Onboarding
467,Millennial,Moderate,Veteran,Facility Location,Patient Acuity,DEI,Safety & Patient Ratios
468,Millennial,Liberal,Newbie,DEI,Orientation & Onboarding,Pay,Facility Location
469,Millennial,Conservative,Veteran,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
470,Millennial,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Management & leadership
471,Millennial,Liberal,Veteran,DEI,Safety & Patient Ratios,Facility Location,Pay
472,Millennial,Conservative,Newbie,Pay,Facility Location,DEI,Orientation & Onboarding
473,Millennial,Moderate,Veteran,Management & leadership,Patient Acuity,DEI,Housing Options
474,Millennial,Liberal,Newbie,DEI,Orientation & Onboarding,Safety & Patient Ratios,Pay
475,Millennial,Conservative,Veteran,Safety & Patient Ratios,Facility Location,DEI,Housing Options
476,Millennial,Moderate,Moderate,Patient Acuity,Management & leadership,DEI,Orientation & Onboarding
477,Millennial,Liberal,Newbie,DEI,Pay,Facility Location,Safety & Patient Ratios
478,Millennial,Conservative,Veteran,Pay,Management & leadership,DEI,Orientation & Onboarding
479,Millennial,Moderate,Newbie,Facility Location,Patient Acuity,DEI,Safety & Patient Ratios
480,Millennial,Liberal,Veteran,DEI,Safety & Patient Ratios,Management & leadership,Pay
481,Millennial,Conservative,Newbie,Pay,Orientation & Onboarding,DEI,Facility Location
482,Millennial,Moderate,Veteran,Patient Acuity,Management & leadership,DEI,Housing Options
483,Millennial,Liberal,Newbie,DEI,Safety & Patient Ratios,Pay,Orientation & Onboarding
484,Millennial,Conservative,Veteran,Safety & Patient Ratios,Facility Location,DEI,Management & leadership
485,Millennial,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Facility Location
486,Millennial,Liberal,Veteran,DEI,Pay,Management & leadership,Safety & Patient Ratios
487,Millennial,Conservative,Moderate,Pay,Safety & Patient Ratios,DEI,Facility Location
488,Millennial,Moderate,Newbie,Facility Location,Patient Acuity,DEI,Orientation & Onboarding
489,Millennial,Liberal,Veteran,DEI,Management & leadership,Safety & Patient Ratios,Housing Options
490,Millennial,Conservative,Newbie,Pay,Management & leadership,DEI,Facility Location
491,Millennial,Moderate,Veteran,Facility Location,Patient Acuity,DEI,Safety & Patient Ratios
492,Millennial,Liberal,Newbie,DEI,Orientation & Onboarding,Pay,Facility Location
493,Millennial,Conservative,Veteran,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
494,Millennial,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Management & leadership
495,Millennial,Liberal,Veteran,DEI,Pay,Safety & Patient Ratios,Facility Location
496,Millennial,Conservative,Newbie,Pay,Facility Location,DEI,Orientation & Onboarding
497,Millennial,Moderate,Veteran,Management & leadership,Patient Acuity,DEI,Housing Options
498,Millennial,Liberal,Newbie,DEI,Orientation & Onboarding,Safety & Patient Ratios,Pay
499,Millennial,Conservative,Veteran,Safety & Patient Ratios,Management & leadership,DEI,Housing Options
500,Millennial,Moderate,Newbie,Patient Acuity,Orientation & Onboarding,DEI,Facility Location
